"eir","metric","mid","lo","hi","model","scenario"
"EIR 1","LM prevalence, ages 2–10",0.9532439886,0.9447328507,0.9617551265,"IBM","Indoor residual spraying
80% coverage, annual"
"EIR 1","clinical incidence, ages 0–5",0.9735135473,0.9655915029,0.9814355918,"IBM","Indoor residual spraying
80% coverage, annual"
"EIR 1","clinical incidence, all ages",0.9715250564,0.9651601834,0.9778899293,"IBM","Indoor residual spraying
80% coverage, annual"
"EIR 1","relapse incidence, all ages",0.9703280572,0.9634695949,0.9771865195,"IBM","Indoor residual spraying
80% coverage, annual"
"EIR 3","LM prevalence, ages 2–10",0.8437188495,0.8283122013,0.8591254976,"IBM","Indoor residual spraying
80% coverage, annual"
"EIR 3","clinical incidence, ages 0–5",0.8940402895,0.8808916319,0.9071889471,"IBM","Indoor residual spraying
80% coverage, annual"
"EIR 3","clinical incidence, all ages",0.885151332,0.8721531838,0.8981494802,"IBM","Indoor residual spraying
80% coverage, annual"
"EIR 3","relapse incidence, all ages",0.858725382,0.8411038355,0.8763469285,"IBM","Indoor residual spraying
80% coverage, annual"
"EIR 10","LM prevalence, ages 2–10",0.7401937175,0.7297700654,0.7506173696,"IBM","Indoor residual spraying
80% coverage, annual"
"EIR 10","clinical incidence, ages 0–5",0.8229043927,0.8114443528,0.8343644326,"IBM","Indoor residual spraying
80% coverage, annual"
"EIR 10","clinical incidence, all ages",0.8143047497,0.8057248854,0.822884614,"IBM","Indoor residual spraying
80% coverage, annual"
"EIR 10","relapse incidence, all ages",0.7265592275,0.7134574791,0.739660976,"IBM","Indoor residual spraying
80% coverage, annual"
"EIR 1","LM prevalence, ages 2–10",0.7179028658,0.6803046414,0.7555010901,"IBM","Bed-net campaign
80% coverage, one round"
"EIR 1","clinical incidence, ages 0–5",0.7864619266,0.7556991398,0.8172247135,"IBM","Bed-net campaign
80% coverage, one round"
"EIR 1","clinical incidence, all ages",0.7559751095,0.7295568597,0.7823933593,"IBM","Bed-net campaign
80% coverage, one round"
"EIR 1","relapse incidence, all ages",0.6987539961,0.6631613734,0.7343466189,"IBM","Bed-net campaign
80% coverage, one round"
"EIR 3","LM prevalence, ages 2–10",0.6215181728,0.6018584874,0.6411778581,"IBM","Bed-net campaign
80% coverage, one round"
"EIR 3","clinical incidence, ages 0–5",0.6969353961,0.6755614188,0.7183093733,"IBM","Bed-net campaign
80% coverage, one round"
"EIR 3","clinical incidence, all ages",0.6838705717,0.6674360516,0.7003050918,"IBM","Bed-net campaign
80% coverage, one round"
"EIR 3","relapse incidence, all ages",0.5905292145,0.572957047,0.6081013819,"IBM","Bed-net campaign
80% coverage, one round"
"EIR 10","LM prevalence, ages 2–10",0.5604139176,0.5438999405,0.5769278948,"IBM","Bed-net campaign
80% coverage, one round"
"EIR 10","clinical incidence, ages 0–5",0.6274737759,0.607160878,0.6477866738,"IBM","Bed-net campaign
80% coverage, one round"
"EIR 10","clinical incidence, all ages",0.6229592405,0.605003864,0.6409146171,"IBM","Bed-net campaign
80% coverage, one round"
"EIR 10","relapse incidence, all ages",0.5476717233,0.5360980733,0.5592453733,"IBM","Bed-net campaign
80% coverage, one round"
"EIR 1","LM prevalence, ages 2–10",0.8082941515,0.7932850028,0.8233033002,"IBM","Radical cure
CQ + primaquine at 60%"
"EIR 1","clinical incidence, ages 0–5",0.776444778,0.7534966527,0.7993929032,"IBM","Radical cure
CQ + primaquine at 60%"
"EIR 1","clinical incidence, all ages",0.7612030551,0.7466363544,0.7757697559,"IBM","Radical cure
CQ + primaquine at 60%"
"EIR 1","relapse incidence, all ages",0.5335780241,0.5057897524,0.5613662957,"IBM","Radical cure
CQ + primaquine at 60%"
