"scenario","model","rep","years","elapsed_s"
"eir_20","IBM",1,33,170.14
"demography","IBM",1,33,166.78
"eir_20","IBM",2,33,169.54
"demography","IBM",2,33,166.81
"eir_20","IBM",3,33,170.24
"demography","IBM",3,33,166.44
"eir_20","IBM",4,33,170.25
"demography","IBM",4,33,166.34
"eir_20","IBM",5,33,169.81
"demography","IBM",5,33,166.61
"eir_20","IBM",6,33,179.48
"demography","IBM",6,33,173.73
"eir_20","IBM",7,33,178.16
"demography","IBM",7,33,175.51
"eir_20","IBM",8,33,177.84
"demography","IBM",8,33,174.44
"eir_20","IBM",9,33,177.62
"demography","IBM",9,33,175.64
"eir_20","IBM",10,33,178.31
"demography","IBM",10,33,175.52
"eir_20","IBM",11,33,181.44
"demography","IBM",11,33,179.21
"eir_20","IBM",12,33,181.56
"demography","IBM",12,33,177.19
"eir_20","IBM",13,33,181.09
"demography","IBM",13,33,178.39
"eir_20","IBM",14,33,182.67
"demography","IBM",14,33,179.19
"eir_20","IBM",15,33,180.76
"demography","IBM",15,33,177.52
"eir_20","IBM",16,33,180.68
"demography","IBM",16,33,175.66
"eir_20","IBM",17,33,178.75
"demography","IBM",17,33,176.36
"eir_20","IBM",18,33,180.86
"demography","IBM",18,33,175.19
"eir_20","IBM",19,33,179.36
"demography","IBM",19,33,175.85
"eir_20","IBM",20,33,179.89
"demography","IBM",20,33,177.28
"ts_none","IBM",1,45,113.83
"ts_nets","IBM",1,45,125.89
"ts_smc","IBM",1,45,114
"ts_treat","IBM",1,45,113.87
"ts_all","IBM",1,45,124.97
"ts_none","IBM",2,45,115.82
"ts_nets","IBM",2,45,126.2
"ts_smc","IBM",2,45,115.16
"ts_treat","IBM",2,45,114.28
"ts_all","IBM",2,45,123.83
"ts_none","IBM",3,45,114.52
"ts_nets","IBM",3,45,125.16
"ts_smc","IBM",3,45,114.41
"ts_treat","IBM",3,45,114.73
"ts_all","IBM",3,45,126.06
"ts_none","IBM",4,45,116.19
"ts_nets","IBM",4,45,125.58
"ts_smc","IBM",4,45,113.67
"ts_treat","IBM",4,45,114.31
"ts_all","IBM",4,45,124.05
"ts_none","IBM",5,45,117.16
"ts_nets","IBM",5,45,128.61
"ts_smc","IBM",5,45,116.86
"ts_treat","IBM",5,45,116.52
"ts_all","IBM",5,45,126.88
"ts_none","IBM",6,45,117.53
"ts_nets","IBM",6,45,127.37
"ts_smc","IBM",6,45,116.55
"ts_treat","IBM",6,45,115.04
"ts_all","IBM",6,45,126.51
"ts_none","IBM",7,45,115.63
"ts_nets","IBM",7,45,126.61
"ts_smc","IBM",7,45,115.26
"ts_treat","IBM",7,45,113.33
"ts_all","IBM",7,45,125.03
"ts_none","IBM",8,45,115.47
"ts_nets","IBM",8,45,125.27
"ts_smc","IBM",8,45,114.39
"ts_treat","IBM",8,45,113.56
"ts_all","IBM",8,45,123.53
"ts_none","IBM",9,45,113.33
"ts_nets","IBM",9,45,124.87
"ts_smc","IBM",9,45,112.68
"ts_treat","IBM",9,45,113.34
"ts_all","IBM",9,45,123.24
"ts_none","IBM",10,45,114.05
"ts_nets","IBM",10,45,124.95
"ts_smc","IBM",10,45,113.78
"ts_treat","IBM",10,45,114.25
"ts_all","IBM",10,45,123.31
"ts_none","IBM",11,45,114.97
"ts_nets","IBM",11,45,126.08
"ts_smc","IBM",11,45,115.5
"ts_treat","IBM",11,45,114.78
